HPLC_ID	Site	Experiment	Plant_ID	Type	Stg	Weight	Harvested	Extracted	Leachtime	Location	Batch	rand
6572	ALD	Field2014	kw_1245	rosette	FO	4.1	6-Jun-14	19-Aug-14	74	p48_E_06	p48	0.399706794
7740	JAM	Field2014	kw_2433	rosette	B	2.1	28-Jun-14	19-Aug-14	52	p48_E_07	p48	0.401209766
7046	SIL	Field2014	kw_0764	rosette	FO	2.4	10-Jun-14	19-Aug-14	70	p48_E_08	p48	0.401218676
6842	ALD	Field2014	kw_0422	rosette	FS1	4.9	6-Jun-14	19-Aug-14	74	p48_E_09	p48	0.401834717
7565	MAH	Field2014	kw_1808	rosette	R	2.7	12-Jun-14	19-Aug-14	68	p48_E_10	p48	0.402332171
6927	SIL	Field2014	kw_3577	rosette	B	2.1	10-Jun-14	19-Aug-14	70	p48_E_11	p48	0.402694017
6550	ALD	Field2014	kw_0523	rosette	FO	9.5	6-Jun-14	19-Aug-14	74	p48_E_12	p48	0.404000476
6867	SIL	Field2014	kw_3403	rosette	FO	5.2	10-Jun-14	19-Aug-14	70	p48_F_01	p48	0.404843817
6937	SIL	Field2014	kw_3641	rosette	B	1.4	10-Jun-14	19-Aug-14	70	p48_F_02	p48	0.406140249
6972	SIL	Field2014	kw_3718	rosette	SO	2.5	10-Jun-14	19-Aug-14	70	p48_F_03	p48	0.406356526
6424	SIL	Field2014	kw_3324	rosette	R	2.9	10-Jun-14	19-Aug-14	70	p48_F_04	p48	0.406683747
7663	JAM	Field2014	kw_3052	rosette	R	2.4	28-Jun-14	19-Aug-14	52	p48_F_05	p48	0.407572017
6521	ALD	Field2014	kw_0249	rosette	B	2.4	6-Jun-14	19-Aug-14	74	p48_F_06	p48	0.407685914
7826	JAM	Field2014	kw_2826	rosette	R	3.5	28-Jun-14	19-Aug-14	52	p48_F_07	p48	0.408331708
6852	SIL	Field2014	kw_3450	rosette	R	1.8	10-Jun-14	19-Aug-14	70	p48_F_08	p48	0.408752353
6568	ALD	Field2014	kw_1223	rosette	B	10.5	6-Jun-14	19-Aug-14	74	p48_F_09	p48	0.40893807
6825	ALD	Field2014	kw_0403	rosette	FO	6.5	6-Jun-14	19-Aug-14	74	p48_F_10	p48	0.411124141
7793	JAM	Field2014	kw_2949	rosette	R	3.7	28-Jun-14	19-Aug-14	52	p48_F_11	p48	0.411565315
7107	SIL	Field2014	kw_3819	rosette	B	1.1	10-Jun-14	19-Aug-14	70	p48_F_12	p48	0.412795152
7278	MAH	Field2014	kw_2170	rosette	R	4.6	12-Jun-14	19-Aug-14	68	p48_G_01	p48	0.413462009
7392	JAM	Field2014	kw_2566	rosette	R	4	28-Jun-14	19-Aug-14	52	p48_G_02	p48	0.413528052
7372	JAM	Field2014	kw_2615	rosette	R	2.6	28-Jun-14	19-Aug-14	52	p48_G_03	p48	0.413885626
6460	ALD	Field2014	kw_0461	rosette	B	4.7	6-Jun-14	19-Aug-14	74	p48_G_04	p48	0.414631492
6287	ALD	Field2014	kw_0600	rosette	FS1	2.5	6-Jun-14	19-Aug-14	74	p48_G_05	p48	0.41475465
