Plant_ID	Block	Genotype	Site	Obs	Date	Stg	TCO	H	rosLN	rosDLN	rosAD	DamPC
kw_0450	a.09	SAD	ALD	RK		R	1	46	8	4	20	10
kw_0451	a.10	MAH	ALD	MW		SO	0	143	4	2	25	12.5
kw_0452	a.10	RUB	ALD	MW		B	0	66	6	6	15	15
kw_0453	a.10	THT	ALD	MW		FS	0	253	8	8	20	20
kw_0454	a.10	FLF	ALD	MW		FS	1	148	5	4	15	12
kw_0455	a.10	BVC	ALD	MW		R	0	41	13	11	20	16.92307692
kw_0456	a.10	JAM	ALD	MW		R	0	11	6	0	0	0
kw_0457	a.10	PAR	ALD	MW		X	0					
kw_0458	a.10	PCS	ALD	MW		FS	0	335	0	0	0	0
kw_0459	a.10	THT	ALD	MW		B	0	52	6	5	20	16.66666667
kw_0460	a.10	PCS	ALD	MW		FS	0	194	4	4	55	55
kw_0461	a.10	BVM	ALD	MW		B	1	225	0	0	0	0
kw_0462	a.10	LTM	ALD	MW		FO	0	206	0	0	0	0
kw_0463	a.10	LTM	ALD	MW		B	1	206	7	4	15	8.571428571
kw_0464	a.10	BHS	ALD	MW		X						
kw_0465	a.10	MIL	ALD	MW		X						
kw_0466	a.10	FLF	ALD	MW		X						
kw_0467	a.10	BSC	ALD	MW		FS	0	334	0	0	0	0
kw_0468	a.10	BVM	ALD	MW		R	0	25	10	2	10	2
kw_0469	a.10	DDW	ALD	MW		FS	0	245	1	1	20	20
kw_0470	a.10	JAM	ALD	MW		B	1	75	8	0	0	0
kw_0471	a.10	SAD	ALD	MW		B	0	86	1	1	20	20
kw_0472	a.10	IRF	ALD	MW		FS	0	327	8	3	10	3.75
kw_0473	a.10	BNK	ALD	MW		X						
kw_0474	a.10	SIL	ALD	MW		FS	0	285	4	4	30	30
kw_0475	a.10	SAD	ALD	MW		FO	0	163	4	0	0	0
kw_0476	a.10	BSC	ALD	MW		FO	0	105	4	1	10	2.5
kw_0477	a.10	EGM	ALD	MW		FS	0	340	0	0	0	0
kw_0478	a.10	RUB	ALD	MW		B	0	140	6	1	10	1.666666667
kw_0479	a.10	BVC	ALD	MW		FO	0	230	4	1	20	5
kw_0480	a.10	MFP	ALD	MW		FS	0	189	7	5	15	10.71428571
kw_0481	a.10	SIL	ALD	MW		B	1	99	8	7	25	21.875
kw_0482	a.10	EGM	ALD	MW		FS	1	208	4	4	10	10
kw_0483	a.10	BHM	ALD	MW		FS	0	374	0	0	0	0
kw_0484	a.10	MFP	ALD	MW		B	0	50	4	3	10	7.5
kw_0485	a.10	PAR	ALD	MW		B	1	175	12	8	15	10
kw_0486	a.10	MAH	ALD	MW		X						
kw_0487	a.10	HMC	ALD	MW		FO	0	333	0	0	0	0
kw_0488	a.10	MIL	ALD	MW		FS	0	203	0	0	0	0
kw_0489	a.10	VNH	ALD	MW		FO	0	163	3	3	15	15
kw_0490	a.10	BHS	ALD	MW		SO	0	341	4	1	10	2.5
kw_0491	a.10	WHC	ALD	MW		FO	0	80	9	7	15	11.66666667
kw_0492	a.10	ECM	ALD	MW		FS	0	194	0	0	0	0
kw_0493	a.10	VNH	ALD	MW		FO	0	237	0	0	0	0
kw_0494	a.10	WHC	ALD	MW		R	0	4	10	22	15	33
kw_0495	a.10	IRF	ALD	MW		FS	0	343	1	1	20	20
kw_0496	a.10	ECM	ALD	MW		B	0	95	4	3	20	15
kw_0497	a.10	BNK	ALD	MW		R	0	23	14	4	15	4.285714286
kw_0498	a.10	HMC	ALD	MW		X						
kw_0499	a.10	DDW	ALD	MW		FS	0	311	4	1	5	1.25
kw_0500	a.10	BHM	ALD	MW		FS	0	218	5	3	20	12
kw_0501	a.11	RUB	ALD	MO		X						
kw_0502	a.11	SIL	ALD	MO		FO	0	282	0	0	0	0
kw_0503	a.11	PCS	ALD	MO		X						
kw_0504	a.11	HMC	ALD	MO		X						
kw_0505	a.11	MIL	ALD	MO		B	1	229	8	3	10	3.75
kw_0506	a.11	THT	ALD	MO		B	0	131	0	0	0	0
kw_0507	a.11	HMC	ALD	MO		X						
kw_0508	a.11	FLF	ALD	MO		X						
kw_0509	a.11	JAM	ALD	MO		B	1	117	2	2	10	10
kw_0510	a.11	DDW	ALD	MO		FS	0	315	2	2	45	45
kw_0511	a.11	SAD	ALD	MO		FS	0	212	0	0	0	0
kw_0512	a.11	BNK	ALD	MO		X						
kw_0513	a.11	PCS	ALD	MO		FS	0	209	3	3	30	30
kw_0514	a.11	EGM	ALD	MO		X						
kw_0515	a.11	IRF	ALD	MO		FS	0	202	11	11	30	30
kw_0516	a.11	LTM	ALD	MO		B	1	136	0	0	0	0
kw_0517	a.11	EGM	ALD	MO		FO	0	366	0	0	0	0
kw_0518	a.11	JAM	ALD	MO		FS	0	272	0	0	0	0
kw_0519	a.11	MIL	ALD	MO		B	1	162	4	4	40	40
kw_0520	a.11	BHM	ALD	MO		B	1	185	3	3	40	40
kw_0521	a.11	WHC	ALD	MO		X						
kw_0522	a.11	DDW	ALD	MO		FS	0	374	8	2	10	2.5
kw_0523	a.11	SAD	ALD	MO		FO	0	152	9	2	20	4.444444444
kw_0524	a.11	BHM	ALD	MO		X						
kw_0525	a.11	IRF	ALD	MO		B	0	73	5	5	50	50
kw_0526	a.11	BVM	ALD	MO		R	1	56	10	9	60	54
kw_0527	a.11	MAH	ALD	MO		FS	1	255	0	0	0	0
kw_0528	a.11	BNK	ALD	MO		X						
kw_0529	a.11	BHS	ALD	MO		FS	0	122	0	0	0	0
kw_0530	a.11	BSC	ALD	MO		R	0	53	9	4	10	4.444444444
kw_0531	a.11	VNH	ALD	MO		X						
kw_0532	a.11	LTM	ALD	MO		FS	0	245	3	3	30	30
kw_0533	a.11	WHC	ALD	MO		X						
kw_0534	a.11	MFP	ALD	MO		M						
kw_0535	a.11	PAR	ALD	MO		X						
kw_0536	a.11	PAR	ALD	MO		X						
kw_0537	a.11	BHS	ALD	MO		X						
kw_0538	a.11	RUB	ALD	MO		X						
kw_0539	a.11	THT	ALD	MO		B	0	115	7	7	30	30
kw_0540	a.11	ECM	ALD	MO		FO	0	304	0	0	0	0
kw_0541	a.11	BVC	ALD	MO		B	0	81	8	8	50	50
kw_0542	a.11	MAH	ALD	MO		FS	1	189	3	0	0	0
kw_0543	a.11	VNH	ALD	MO		X						
kw_0544	a.11	MFP	ALD	MO		M						
kw_0545	a.11	BSC	ALD	MO		FS	0	323	0	0	0	0
kw_0546	a.11	SIL	ALD	MO		FO	0	224	2	2	60	60
kw_0547	a.11	FLF	ALD	MO		X						
kw_0548	a.11	ECM	ALD	MO		FS	0	267	3	3	40	40
kw_0549	a.11	BVM	ALD	MO		X						
kw_0550	a.11	BVC	ALD	MO		R	0	52	11	11	40	40
kw_0551	a.12	BHM	ALD	RK		X						
kw_0552	a.12	BSC	ALD	RK		X						
kw_0553	a.12	FLF	ALD	RK		X						
kw_0554	a.12	MIL	ALD	RK		B	0	58	3	0	0	0
kw_0555	a.12	BVC	ALD	RK		X						
kw_0556	a.12	THT	ALD	RK		FS	0	200	7	0	0	0
kw_0557	a.12	MAH	ALD	RK		R	1	21	15	3	10	2
kw_0558	a.12	WHC	ALD	RK		R	0	15	11	1	10	0.909090909
kw_0559	a.12	RUB	ALD	RK		R	0	12	4	1	20	5
kw_0560	a.12	MAH	ALD	RK		X						
kw_0561	a.12	RUB	ALD	RK		X						
kw_0562	a.12	JAM	ALD	RK		X						
kw_0563	a.12	DDW	ALD	RK		B	1	218	3	3	40	40
kw_0564	a.12	FLF	ALD	RK		SO	1	221	6	4	15	10
kw_0565	a.12	MFP	ALD	RK		X						
kw_0566	a.12	BHM	ALD	RK		X						
kw_0567	a.12	ECM	ALD	RK		FO	1	164	3	2	20	13.33333333
kw_0568	a.12	EGM	ALD	RK		B	1	170	6	2	10	3.333333333
kw_0569	a.12	PAR	ALD	RK		X						
kw_0570	a.12	VNH	ALD	RK		X						
kw_0571	a.12	SAD	ALD	RK		FS	0	209	14	1	10	0.714285714
kw_0572	a.12	LTM	ALD	RK		FO	0	201	0	0	0	0
kw_0573	a.12	BSC	ALD	RK		X						
kw_0574	a.12	IRF	ALD	RK		SO	0	202	5	4	30	24
kw_0575	a.12	WHC	ALD	RK		FS	0	332	8	3	10	3.75
kw_0576	a.12	VNH	ALD	RK		R	0	14	7	0	0	0
kw_0577	a.12	MFP	ALD	RK		X						
kw_0578	a.12	LTM	ALD	RK		SO	0	317	0	0	0	0
kw_0579	a.12	BVM	ALD	RK		X						
kw_0580	a.12	SIL	ALD	RK		FO	0	230	2	2	10	10
kw_0581	a.12	SAD	ALD	RK		R	0	67	17	6	40	14.11764706
kw_0582	a.12	ECM	ALD	RK		FO	0	226	0	0	0	0
kw_0583	a.12	BNK	ALD	RK		X						
kw_0584	a.12	BVC	ALD	RK		R	0	47	9	8	20	17.77777778
kw_0585	a.12	JAM	ALD	RK		X						
kw_0586	a.12	BHS	ALD	RK		X						
kw_0587	a.12	HMC	ALD	RK		X						
kw_0588	a.12	PCS	ALD	RK		R	0	34	7	1	10	1.428571429
kw_0589	a.12	BVM	ALD	RK		R	0	16	5	0	0	0
kw_0590	a.12	PCS	ALD	RK		R	0	29	7	2	20	5.714285714
kw_0591	a.12	SIL	ALD	RK		FO	0	252	2	2	20	20
kw_0592	a.12	IRF	ALD	RK		FO	0	184	4	4	30	30
kw_0593	a.12	THT	ALD	RK		FO	0	205	0	0	0	0
kw_0594	a.12	PAR	ALD	RK		X						
kw_0595	a.12	EGM	ALD	RK		B	1	88	0	0	0	0
kw_0596	a.12	HMC	ALD	RK		X						
kw_0597	a.12	MIL	ALD	RK		FO	0	203	0	0	0	0
kw_0598	a.12	BNK	ALD	RK		X						
kw_0599	a.12	BHS	ALD	RK		R	0	33	10	2	15	3
kw_0600	a.12	DDW	ALD	RK		FS	0	244	6	6	20	20
kw_0601	a.13	BVM	SIL	RK		X						
kw_0602	a.13	PAR	SIL	RK		X						
kw_0603	a.13	BSC	SIL	RK		SO	0	289	0	0	0	0
kw_0604	a.13	MFP	SIL	RK		M						
kw_0605	a.13	WHC	SIL	RK		X						
kw_0606	a.13	FLF	SIL	RK		R	0	36	12	0	0	0
kw_0607	a.13	EGM	SIL	RK		SO	0	435	0	0	0	0
kw_0608	a.13	VNH	SIL	RK		X						
kw_0609	a.13	MIL	SIL	RK		SO	0	450	0	0	0	0
kw_0610	a.13	BVM	SIL	RK		X						
kw_0611	a.13	WHC	SIL	RK		X						
kw_0612	a.13	DDW	SIL	RK		SO	1	390	0	0	0	0
kw_0613	a.13	SAD	SIL	RK		SO	0	446	0	0	0	0
kw_0614	a.13	MIL	SIL	RK		SO	0	425	0	0	0	0
kw_0615	a.13	IRF	SIL	RK		SO	0	371	0	0	0	0
kw_0616	a.13	BHM	SIL	RK		R	0	50	7	0	0	0
kw_0617	a.13	SIL	SIL	RK		SO	0	410	0	0	0	0
kw_0618	a.13	ECM	SIL	RK		SO	0	496	0	0	0	0
kw_0619	a.13	SAD	SIL	RK		R	0	19	7	0	0	0
kw_0620	a.13	MFP	SIL	RK		M						
kw_0621	a.13	LTM	SIL	RK		SO	0	375	0	0	0	0
kw_0622	a.13	LTM	SIL	RK		B	1	251	6	0	0	0
kw_0623	a.13	ECM	SIL	RK		SO	1	388	0	0	0	0
kw_0624	a.13	JAM	SIL	RK		SO	0	283	3	0	0	0
kw_0625	a.13	BHS	SIL	RK		R	0	26	10	0	0	0
kw_0626	a.13	BHS	SIL	RK		R	0	27	10	0	0	0
kw_0627	a.13	IRF	SIL	RK		SO	1	200	5	3	10	6
kw_0628	a.13	PCS	SIL	RK		R	0	12	9	0	0	0
kw_0629	a.13	BHM	SIL	RK		X						
kw_0630	a.13	BSC	SIL	RK		R	0	32	30	2	5	0.333333333
kw_0631	a.13	BNK	SIL	RK		X						
kw_0632	a.13	MAH	SIL	RK		X						
kw_0633	a.13	BNK	SIL	RK		X						
kw_0634	a.13	THT	SIL	RK		SO	0	275	9	0	0	0
kw_0635	a.13	RUB	SIL	RK		X						
kw_0636	a.13	BVC	SIL	RK		R	0	15	7	1	10	1.428571429
kw_0637	a.13	PCS	SIL	RK		R	0	12	9	0	0	0
kw_0638	a.13	DDW	SIL	RK		SO	0	400	0	0	0	0
kw_0639	a.13	JAM	SIL	RK		SO	0	386	1	1	20	20
kw_0640	a.13	SIL	SIL	RK		SO	0	365	0	0	0	0
kw_0641	a.13	VNH	SIL	RK		R	0	30	8	0	0	0
kw_0642	a.13	PAR	SIL	RK		R	0	7	6	0	0	0
kw_0643	a.13	FLF	SIL	RK		R	0	26	15	0	0	0
kw_0644	a.13	THT	SIL	RK		SO	0	404	0	0	0	0
kw_0645	a.13	MAH	SIL	RK		X						
kw_0646	a.13	RUB	SIL	RK		R	0	10	7	0	0	0
kw_0647	a.13	HMC	SIL	RK		X						
kw_0648	a.13	BVC	SIL	RK		X						
kw_0649	a.13	EGM	SIL	RK		SO	0	672	0	0	0	0
kw_0650	a.13	HMC	SIL	RK		X						
kw_0651	a.14	VNH	SIL	MW		R	0	36	6	1	20	3.333333333
kw_0652	a.14	RUB	SIL	MW		X						
kw_0653	a.14	SAD	SIL	MW		R	0	40	13	0	0	0
kw_0654	a.14	THT	SIL	MW		SO	0	391	0	0	0	0
kw_0655	a.14	LTM	SIL	MW		SO	0	444	0	0	0	0
kw_0656	a.14	DDW	SIL	MW		SO	0	438	0	0	0	0
kw_0657	a.14	MIL	SIL	MW		R	0	30	8	0	0	0
kw_0658	a.14	BSC	SIL	MW		SO	0	340	0	0	0	0
kw_0659	a.14	BNK	SIL	MW		X						
kw_0660	a.14	PCS	SIL	MW		X						
kw_0661	a.14	BVM	SIL	MW		X						
kw_0662	a.14	JAM	SIL	MW		SO	0	415	0	0	0	0
kw_0663	a.14	LTM	SIL	MW		SO	0	394	0	0	0	0
kw_0664	a.14	SIL	SIL	MW		SO	0	365	0	0	0	0
kw_0665	a.14	BVM	SIL	MW		X						
kw_0666	a.14	WHC	SIL	MW		SO	0	350	0	0	0	0
kw_0667	a.14	PCS	SIL	MW		X						
kw_0668	a.14	BVC	SIL	MW		X						
kw_0669	a.14	FLF	SIL	MW		R	0	31	12	5	10	4.166666667
kw_0670	a.14	BNK	SIL	MW		X						
kw_0671	a.14	BSC	SIL	MW		SO	0	436	0	0	0	0
kw_0672	a.14	JAM	SIL	MW		SO	0	293	7	3	25	10.71428571
kw_0673	a.14	DDW	SIL	MW		SO	0	505	0	0	0	0
kw_0674	a.14	ECM	SIL	MW		SO	0	564	0	0	0	0
kw_0675	a.14	HMC	SIL	MW		X						
kw_0676	a.14	BVC	SIL	MW		M						
kw_0677	a.14	IRF	SIL	MW		SO	0	397	7	0	0	0
kw_0678	a.14	MAH	SIL	MW		X						
kw_0679	a.14	BHM	SIL	MW		R	0	41	24	8	15	5
kw_0680	a.14	WHC	SIL	MW		SO	0	382	24	0	0	0
kw_0681	a.14	BHM	SIL	MW		X						
kw_0682	a.14	ECM	SIL	MW		SO	0	566	0	0	0	0
kw_0683	a.14	VNH	SIL	MW		X						
kw_0684	a.14	BHS	SIL	MW		R	0	12	6	0	0	0
kw_0685	a.14	PAR	SIL	MW		X						
kw_0686	a.14	IRF	SIL	MW		SO	0	416	8	4	15	7.5
kw_0687	a.14	FLF	SIL	MW		X						
kw_0688	a.14	MFP	SIL	MW		M						
kw_0689	a.14	RUB	SIL	MW		X						
kw_0690	a.14	THT	SIL	MW		R	0	39	23	0	0	0
kw_0691	a.14	BHS	SIL	MW		R	0	42	12	0	0	0
kw_0692	a.14	HMC	SIL	MW		R	0	20	8	0	0	0
kw_0693	a.14	EGM	SIL	MW		X						
kw_0694	a.14	SAD	SIL	MW		SO	0	323	0	0	0	0
kw_0695	a.14	PAR	SIL	MW		M						
kw_0696	a.14	MIL	SIL	MW		SO	0	575	0	0	0	0
kw_0697	a.14	MAH	SIL	MW		SO	1	255	3	0	0	0
kw_0698	a.14	SIL	SIL	MW		SO	1	193	10	8	15	12
kw_0699	a.14	EGM	SIL	MW		X						
kw_0700	a.14	MFP	SIL	MW		M						
kw_0701	a.15	WHC	SIL	MW		R	0	41	15	1	75	5
kw_0702	a.15	BHS	SIL	MW		R	0	36	11	4	20	7.272727273
kw_0703	a.15	BVC	SIL	MW		M						
kw_0704	a.15	JAM	SIL	MW		X						
kw_0705	a.15	THT	SIL	MW		R	0	42	13	0	0	0
kw_0706	a.15	VNH	SIL	MW		R	0	10	5	0	0	0
kw_0707	a.15	WHC	SIL	MW		R	0	25	8	2	30	7.5
kw_0708	a.15	EGM	SIL	MW		FS	0	428	0	0	0	0
kw_0709	a.15	BHS	SIL	MW		B	1	133	6	0	0	0
kw_0710	a.15	MFP	SIL	MW		M						
kw_0711	a.15	DDW	SIL	MW		SO	0	444	2	0	0	0
kw_0712	a.15	RUB	SIL	MW		R	0	14	5	0	0	0
kw_0713	a.15	BSC	SIL	MW		R	0	65	15	0	0	0
kw_0714	a.15	BVM	SIL	MW		M						
kw_0715	a.15	FLF	SIL	MW		R	0	37	13	1	10	0.769230769
kw_0716	a.15	BHM	SIL	MW		X						
kw_0717	a.15	LTM	SIL	MW		SO	0	399	0	0	0	0
kw_0718	a.15	FLF	SIL	MW		R	0	25	9	0	0	0
kw_0719	a.15	THT	SIL	MW		SO	0	427	0	0	0	0
kw_0720	a.15	HMC	SIL	MW		X						
kw_0721	a.15	HMC	SIL	MW		R	0	18	6	0	0	0
kw_0722	a.15	MFP	SIL	MW		M						
kw_0723	a.15	RUB	SIL	MW		X						
kw_0724	a.15	VNH	SIL	MW		R	0	41	9	0	0	0
kw_0725	a.15	BNK	SIL	MW		X						
kw_0726	a.15	DDW	SIL	MW		SO	0	460	10	0	0	0
kw_0727	a.15	PAR	SIL	MW		M						
kw_0728	a.15	SIL	SIL	MW		SO	0	190	8	4	20	10
kw_0729	a.15	BVC	SIL	MW		M						
kw_0730	a.15	BSC	SIL	MW		R	0	54	13	0	0	0
kw_0731	a.15	JAM	SIL	MW		SO	0	283	0	0	0	0
kw_0732	a.15	SAD	SIL	MW		R	0	42	12	0	0	0
kw_0733	a.15	MIL	SIL	MW		SO	0	636	0	0	0	0
kw_0734	a.15	MAH	SIL	MW		R	0	40	7	0	0	0
kw_0735	a.15	ECM	SIL	MW		SO	0	603	0	0	0	0
kw_0736	a.15	IRF	SIL	MW		SO	0	483	8	0	0	0
kw_0737	a.15	ECM	SIL	MW		X						
kw_0738	a.15	BNK	SIL	MW		R	0	30	9	0	0	0
kw_0739	a.15	BHM	SIL	MW		R	0	27	7	2	5	1.428571429
kw_0740	a.15	LTM	SIL	MW		FS	1	213	13	7	15	8.076923077
kw_0741	a.15	PAR	SIL	MW		M						
kw_0742	a.15	EGM	SIL	MW		R	0	27	7	0	0	0
kw_0743	a.15	MIL	SIL	MW		SO	0	461	0	0	0	0
kw_0744	a.15	SAD	SIL	MW		R	0	4	13	0	0	0
kw_0745	a.15	PCS	SIL	MW		X						
kw_0746	a.15	BVM	SIL	MW		M						
kw_0747	a.15	PCS	SIL	MW		R	0	32	7	0	0	0
kw_0748	a.15	MAH	SIL	MW		R	0	40	13	0	0	0
kw_0749	a.15	IRF	SIL	MW		SO	0	432	1	0	0	0
kw_0750	a.15	SIL	SIL	MW		SO	0	330	8	1	10	1.25
kw_0751	a.16	PCS	SIL	MW		R	0	51	10	1	5	0.5
kw_0752	a.16	BHS	SIL	MW		SO	0	326	2	0	0	0
kw_0753	a.16	VNH	SIL	MW		X						
kw_0754	a.16	LTM	SIL	MW		SO	0	348	4	0	0	0
kw_0755	a.16	PCS	SIL	MW		X						
kw_0756	a.16	IRF	SIL	MW		SO	0	358	6	0	0	0
kw_0757	a.16	MFP	SIL	MW		M						
kw_0758	a.16	DDW	SIL	MW		SO	0	517	14	0	0	0
kw_0759	a.16	JAM	SIL	MW		X						
kw_0760	a.16	DDW	SIL	MW		SO	0	435	3	0	0	0
kw_0761	a.16	MIL	SIL	MW		FS	1	457	0	0	0	0
kw_0762	a.16	PAR	SIL	MW		M						
kw_0763	a.16	BVC	SIL	MW		M						
kw_0764	a.16	WHC	SIL	MW		SO	0	250	1	0	0	0
kw_0765	a.16	BVM	SIL	MW		M						
kw_0766	a.16	PAR	SIL	MW		M						
kw_0767	a.16	VNH	SIL	MW		R	0	39	11	1	5	0.454545455
kw_0768	a.16	SIL	SIL	MW		SO	0	419	1	1	10	10
kw_0769	a.16	FLF	SIL	MW		R	0	28	10	0	0	0
kw_0770	a.16	BNK	SIL	MW		X						
kw_0771	a.16	MAH	SIL	MW		X						
kw_0772	a.16	BVM	SIL	MW		M						
kw_0773	a.16	EGM	SIL	MW		SO	0	601	0	0	0	0
kw_0774	a.16	JAM	SIL	MW		M						
kw_0775	a.16	HMC	SIL	MW		X						
kw_0776	a.16	BVC	SIL	MW		M						
kw_0777	a.16	ECM	SIL	MW		SO	0	403	1	0	0	0
kw_0778	a.16	SIL	SIL	MW		SO	0	348	5	0	0	0
kw_0779	a.16	WHC	SIL	MW		R	0	46	26	0	0	0
kw_0780	a.16	LTM	SIL	MW		SO	0	433	3	0	0	0
kw_0781	a.16	ECM	SIL	MW		X						
kw_0782	a.16	BHM	SIL	MW		R	0	44	11	1	20	1.818181818
kw_0783	a.16	MFP	SIL	MW		M						
kw_0784	a.16	SAD	SIL	MW		SO	1	491	6	0	0	0
kw_0785	a.16	HMC	SIL	MW		R	0	28	10	0	0	0
kw_0786	a.16	RUB	SIL	MW		X						
kw_0787	a.16	SAD	SIL	MW		SO	0	413	4	1	10	2.5
kw_0788	a.16	THT	SIL	MW		SO	0	328	0	0	0	0
kw_0789	a.16	BHS	SIL	MW		SO	0	210	2	0	0	0
kw_0790	a.16	BNK	SIL	MW		X						
kw_0791	a.16	RUB	SIL	MW		X						
kw_0792	a.16	EGM	SIL	MW		FS	1	197	1	0	0	0
kw_0793	a.16	THT	SIL	MW		FS	0	236	7	1	10	1.428571429
kw_0794	a.16	FLF	SIL	MW		R	0	35	11	0	0	0
kw_0795	a.16	MAH	SIL	MW		SO	0	303	3	0	0	0
kw_0796	a.16	BHM	SIL	MW		M						
kw_0797	a.16	MIL	SIL	MW		FO	1	88	14	0	0	0
kw_0798	a.16	BSC	SIL	MW		R	0	47	12	0	0	0
kw_0799	a.16	BSC	SIL	MW		R	0	28	6	0	0	0
kw_0800	a.16	IRF	SIL	MW		SO	0	345	2	0	0	0
kw_0801	j.01	BHS	ALD	MW		R	0	19	9	3	10	3.333333333
kw_0802	j.01	MIL	ALD	MW		FS1	0	130	0	0	0	0
kw_0803	j.01	SIL	ALD	MW		B	0	167	5	3	20	12
kw_0804	j.01	THT	ALD	MW		B	0	75	4	2	20	10
kw_0805	j.01	BHM	ALD	MW		X						
kw_0806	j.01	THT	ALD	MW		X						
kw_0807	j.01	PAR	ALD	MW		B	1	81	6	4	20	13.33333333
kw_0808	j.01	VNH	ALD	MW		X						
kw_0809	j.01	RUB	ALD	MW		B	0	83	7	7	20	20
kw_0810	j.01	MFP	ALD	MW		R	0	10	8	0	0	0
kw_0811	j.01	DDW	ALD	MW		B	1	165	6	2	20	6.666666667
kw_0812	j.01	SIL	ALD	MW		FO	0	155	5	5	15	15
kw_0813	j.01	IRF	ALD	MW		FO	0	188	2	2	15	15
kw_0814	j.01	SAD	ALD	MW		X						
kw_0815	j.01	MAH	ALD	MW		FS2	0	175	0	0	0	0
kw_0816	j.01	DDW	ALD	MW		B	1	79	9	9	25	25
kw_0817	j.01	FLF	ALD	MW		FO	1	146	4	3	15	11.25
kw_0818	j.01	BSC	ALD	MW		X						
kw_0819	j.01	SAD	ALD	MW		FO	0	149	0	0	0	0
kw_0820	j.01	WHC	ALD	MW		FS2	0	190	3	0	0	0
kw_0821	j.01	MIL	ALD	MW		FS2	0	178	0	0	0	0
kw_0822	j.01	JAM	ALD	MW		X						
kw_0823	j.01	FLF	ALD	MW		X						
kw_0824	j.01	WHC	ALD	MW		X						
kw_0825	j.01	PAR	ALD	MW		X						
kw_0826	j.01	BNK	ALD	MW		X						
kw_0827	j.01	PCS	ALD	MW		X						
kw_0828	j.01	LTM	ALD	MW		X						
kw_0829	j.01	BVC	ALD	MW		X						
kw_0830	j.01	VNH	ALD	MW		X						
kw_0831	j.01	BVM	ALD	MW		R	0	12	5	0	0	0
kw_0832	j.01	HMC	ALD	MW		X						
kw_0833	j.01	BSC	ALD	MW		X						
kw_0834	j.01	ECM	ALD	MW		FO	0	185	0	0	0	0
kw_0835	j.01	LTM	ALD	MW		FO	0	90	9	6	10	6.666666667
kw_0836	j.01	ECM	ALD	MW		X						
kw_0837	j.01	MAH	ALD	MW		SO	0	133	0	0	0	0
kw_0838	j.01	BVC	ALD	MW		X						
kw_0839	j.01	RUB	ALD	MW		B	0	80	4	3	25	18.75
kw_0840	j.01	PCS	ALD	MW		R	0	9	6	1	10	1.666666667
kw_0841	j.01	BNK	ALD	MW		X						
kw_0842	j.01	BHM	ALD	MW		FO	0	281	0	0	0	0
kw_0843	j.01	HMC	ALD	MW		X						
kw_0844	j.01	EGM	ALD	MW		FO	0	81	2	1	5	2.5
kw_0845	j.01	IRF	ALD	MW		B	1	112	9	6	15	10
kw_0846	j.01	MFP	ALD	MW		B	1	48	4	0	0	0
kw_0847	j.01	BHS	ALD	MW		X						
kw_0848	j.01	EGM	ALD	MW		FO	0	227	0	0	0	0
kw_0849	j.01	JAM	ALD	MW		B	0	20	4	3	5	3.75
kw_0850	j.01	BVM	ALD	MW		X						
kw_0851	j.02	BHM	ALD	MW		B	0	37	4	4	55	55
kw_0852	j.02	MIL	ALD	MW		FO	0	89	2	1	30	15
kw_0853	j.02	SAD	ALD	MW		X						
kw_0854	j.02	BVM	ALD	MW		X						
kw_0855	j.02	RUB	ALD	MW		B	0	116	5	4	15	12
kw_0856	j.02	FLF	ALD	MW		FS2	0	243	3	0	0	0
kw_0857	j.02	LTM	ALD	MW		B	0	68	2	0	0	0
kw_0858	j.02	SAD	ALD	MW		FO	0	165	0	0	0	0
kw_0859	j.02	HMC	ALD	MW		X						
kw_0860	j.02	ECM	ALD	MW		B	0	90	0	0	0	0
kw_0861	j.02	BVC	ALD	MW		X						
kw_0862	j.02	MFP	ALD	MW		B	1	71	6	0	0	0
kw_0863	j.02	PAR	ALD	MW		X						
kw_0864	j.02	PCS	ALD	MW		X						
kw_0865	j.02	THT	ALD	MW		FS1	0	226	0	0	0	0
kw_0866	j.02	RUB	ALD	MW		B	0	53	6	6	20	20
kw_0867	j.02	MAH	ALD	MW		R	0	11				
kw_0868	j.02	VNH	ALD	MW		X						
kw_0869	j.02	BHS	ALD	MW		X						
kw_0870	j.02	SIL	ALD	MW		FO	0	187	7	4	10	5.714285714
kw_0871	j.02	WHC	ALD	MW		FS1	0	118	0	0	0	0
kw_0872	j.02	MAH	ALD	MW		FS2	1	175	3	2	75	50
kw_0873	j.02	THT	ALD	MW		FS1	0	134	11	9	30	24.54545455
kw_0874	j.02	EGM	ALD	MW		FO	0	208	6	3	15	7.5
kw_0875	j.02	BNK	ALD	MW		X						
kw_0876	j.02	IRF	ALD	MW		FS2	0	195	3	2	15	10
kw_0877	j.02	DDW	ALD	MW		FS1	0	246	5	5	10	10
kw_0878	j.02	IRF	ALD	MW		FS2	0	263	10	2	5	1
kw_0879	j.02	BNK	ALD	MW		FS1	0	161	1	0	0	0
kw_0880	j.02	BSC	ALD	MW		B	0	48	6	3	15	7.5
kw_0881	j.02	JAM	ALD	MW		B	1	125	3	3	30	30
kw_0882	j.02	VNH	ALD	MW		B	0	116	8	8	15	15
kw_0883	j.02	BVM	ALD	MW		X						
kw_0884	j.02	LTM	ALD	MW		FO	0	108	5	5	35	35
kw_0885	j.02	PCS	ALD	MW		X						
kw_0886	j.02	BHS	ALD	MW		FO	0	130	0	0	0	0
