HPLC_ID	RetTime	Area	GS
7180	2.896	24.1	1ME	
7180	5.544	1699.85	6MSOH	
6279	1.094	141.94	2OH1ME	
6279	1.522	830.81	sinigrin	
6279	2.915	29.23	1ME	
6279	5.551	31.07	6MSOH	
6209	1.026	41.1	2OH1ME	
6209	1.531	722.63	sinigrin	
6988	1.146	461.96	2OH1ME	
6988	1.623	958.87	sinigrin	
6513	1.522	664.52	sinigrin	
6513	2.906	190.26	1ME	
6513	5.537	9.51	6MSOH	
6513	5.767	116.97	1MP	
7681	1.014	10.5	2OH1ME	
7681	1.544	734.36	sinigrin	
7681	2.904	22.11	1ME	
7681	5.535	771.01	6MSOH	
6226	1.505	711.94	sinigrin	
6226	2.9	263.52	1ME	
6226	5.545	7.19	6MSOH	
7274	1.532	610.25	sinigrin	
7274	2.938	332.99	1ME	
7274	5.552	89.14	6MSOH	
7274	5.78	86.18	1MP	
6865	1.018	1593.66	2OH1ME	
6865	1.533	694.2	sinigrin	
6865	2.905	22.81	1ME	
6865	5.522	75.34	6MSOH	
7334	1.131	106.9	2OH1ME	
7334	1.591	844.02	sinigrin	
7334	3.025	73.77	1ME	
7334	5.565	17.86	6MSOH	
7822	1.126	1002.88	2OH1ME	
7822	1.593	870.79	sinigrin	
7822	3.04	425.91	1ME	
7822	5.567	962.66	6MSOH	
6543	1.525	731.37	sinigrin	
6543	2.912	1925.51	1ME	
6543	5.538	17.84	6MSOH	
6543	5.77	30.52	1MP	
7772	1.539	727.83	sinigrin	
7772	2.935	654.19	1ME	
7772	5.55	70.67	6MSOH	
7772	5.79	149.23	1MP	
6840	1.032	34.62	2OH1ME	
6840	1.551	642.58	sinigrin	
6840	5.534	7.19	6MSOH	
sinigrin55	1.631	976.72	sinigrin	
7585	1.024	221.6	2OH1ME	
7585	1.524	694.19	sinigrin	
7585	2.91	301.19	1ME	
7585	5.53	684.98	6MSOH	
6991	1.515	820.57	sinigrin	
6991	2.905	2268.94	1ME	
6991	5.548	28.2	6MSOH	
6991	5.78	200.39	1MP	
6540	1.041	504.44	2OH1ME	
6540	1.525	685.52	sinigrin	
6540	2.901	46.52	1ME	
6540	5.536	9.09	6MSOH	
6924	1.141	1948.26	2OH1ME	
6924	1.609	983.82	sinigrin	
6924	3.036	36.3	1ME	
6924	5.569	146.57	6MSOH	
7239	1.514	674.96	sinigrin	
7239	2.857	29.23	1ME	
7239	5.525	1990.84	6MSOH	
7518	1.56	646.58	sinigrin	
7518	2.922	70.1	1ME	
7518	5.512	4818.71	6MSOH	
7518	5.799	37.85	1MP	
6631	1.172	676.23	2OH1ME	
6631	1.629	906.68	sinigrin	
6631	3.071	20.05	1ME	
6631	5.582	63.26	6MSOH	
7737	1.54	547.88	sinigrin	
7737	2.937	303.76	1ME	
7737	5.53	116.02	6MSOH	
7737	5.761	73.06	1MP	
7667	1.543	64.08	sinigrin	
7667	2.928	68.55	1ME	
7667	5.758	62.48	1MP	
6775	1.597	847.7	sinigrin	
6775	2.988	24.27	1ME	
6775	5.564	1286.59	6MSOH	
7713	1.542	655.03	sinigrin	
7713	2.932	403.42	1ME	
7713	5.536	116.79	6MSOH	
7713	5.764	170.84	1MP	
7812	1.022	1405.31	2OH1ME	
7812	1.552	704.0	sinigrin	
7812	2.929	1171.62	1ME	
7812	5.531	463.46	6MSOH	
7812	5.762	13.74	1MP	
7614	1.063	538.32	2OH1ME	
7614	1.513	762.95	sinigrin	
7614	2.912	257.84	1ME	
7614	5.545	1589.31	6MSOH	
6946	1.52	807.53	sinigrin	
6946	2.921	38.84	1ME	
6946	5.551	15.49	6MSOH	
6946	5.785	11.89	1MP	
7449	1.533	641.61	sinigrin	
7449	2.915	255.94	1ME	
7449	5.537	63.54	6MSOH	
7449	5.767	102.08	1MP	
7595	1.54	643.73	sinigrin	
7595	2.931	352.53	1ME	
7595	5.536	16.78	6MSOH	
7595	5.766	71.47	1MP	
6436	1.445	725.33	sinigrin	
6436	2.723	606.64	1ME	
6436	5.449	7.16	6MSOH	
6436	5.664	110.78	1MP	
7130	1.483	977.85	sinigrin	
7130	2.777	199.47	1ME	
7130	5.699	48.6	1MP	
6450	1.457	722.13	sinigrin	
6450	2.753	365.11	1ME	
6450	5.68	15.55	1MP	
sinigrin56	1.006	10.69	2OH1ME	
sinigrin56	1.533	1340.19	sinigrin	
7410	1.019	760.03	2OH1ME	
7410	1.411	705.19	sinigrin	
7410	2.663	210.15	1ME	
7410	5.412	16.99	6MSOH	
7592	1.019	459.93	2OH1ME	
7592	1.415	702.29	sinigrin	
7592	2.684	294.49	1ME	
7592	5.421	1311.74	6MSOH	
7477	1.032	1445.22	2OH1ME	
7477	1.419	737.27	sinigrin	
7477	2.677	1575.14	1ME	
7477	5.418	1500.13	6MSOH	
6657	1.493	1332.08	sinigrin	
6657	5.494	266.13	6MSOH	
6657	5.721	489.42	1MP	
6557	1.465	780.99	sinigrin	
6557	5.476	127.52	6MSOH	
6255	1.478	875.73	sinigrin	
6255	2.756	1482.66	1ME	
6255	5.472	67.48	6MSOH	
6255	5.686	204.7	1MP	
7070	1.483	893.22	sinigrin	
7070	2.771	463.56	1ME	
7070	5.49	41.21	6MSOH	
7023	1.026	555.6	2OH1ME	
7023	1.422	724.44	sinigrin	
7023	2.692	47.4	1ME	
7023	5.435	350.44	6MSOH	
sinigrin57	1.456	957.81	sinigrin	
7356	1.481	1060.58	sinigrin	
7356	2.684	49.3	1ME	
7356	5.485	1803.34	6MSOH	
7534	1.421	677.76	sinigrin	
7534	2.687	199.55	1ME	
7534	5.427	6.17	6MSOH	
7534	5.641	9.41	1MP	
6502	1.49	1379.03	sinigrin	
6502	2.779	5076.84	1ME	
6502	5.491	184.39	6MSOH	
6502	5.706	1284.0	1MP	
7716	1.435	691.49	sinigrin	
7716	2.609	39.17	1ME	
7716	5.439	1750.8	6MSOH	
6478	1.472	908.74	sinigrin	
6478	2.671	43.72	1ME	
6478	5.476	1277.52	6MSOH	
7764	1.479	997.81	sinigrin	
7764	2.774	1272.71	1ME	
7764	5.49	249.44	6MSOH	
7764	5.669	210.14	1MP	
7355	1.419	644.0	sinigrin	
7355	2.666	1448.71	1ME	
7355	5.416	132.44	6MSOH	
7355	5.626	467.48	1MP	
7393	1.062	131.86	2OH1ME	
7393	1.473	800.08	sinigrin	
7393	2.766	36.72	1ME	
7393	5.476	39.01	6MSOH	
7420	2.553	3078.64	2OH1ME	
7420	3.476	1612.52	sinigrin	
7420	6.15	761.16	1ME	
7420	10.838	1345.2	6MSOH	
6632	2.566	48.72	2OH1ME	
6632	3.475	1371.64	sinigrin	
7203	3.565	1517.09	sinigrin	
7203	6.364	4243.65	1ME	
7203	10.95	1485.69	6MSOH	
7203	11.691	1029.82	1MP	
7814	3.424	1397.02	sinigrin	
7814	6.094	1117.22	1ME	
7814	10.794	228.97	6MSOH	
7814	11.511	585.41	1MP	
7758	2.517	605.06	2OH1ME	
7758	3.427	1419.63	sinigrin	
