HPLC_ID	RetTime	Area	GS
7797	3.547	653.61	1ME	
7797	5.867	510.5	6MSOH	
7476	1.76	653.26	sinigrin	
7476	3.306	6177.52	1ME	
7476	5.784	1173.54	6MSOH	
7476	6.048	995.76	1MP	
7714	1.897	687.23	sinigrin	
7714	3.565	222.49	1ME	
7714	5.866	79.69	6MSOH	
7714	6.166	133.95	1MP	
7834	1.333	288.36	2OH1ME	
7834	1.95	759.62	sinigrin	
7834	3.634	189.99	1ME	
7834	5.876	193.16	6MSOH	
7702	1.79	647.22	sinigrin	
7702	3.379	855.91	1ME	
7702	5.8	131.0	6MSOH	
7702	6.072	398.45	1MP	
7125	1.904	641.78	sinigrin	
7125	3.558	1676.67	1ME	
7125	5.868	433.68	6MSOH	
7125	6.167	1102.72	1MP	
7200	1.833	668.27	sinigrin	
7200	5.829	1704.48	6MSOH	
7816	1.89	650.61	sinigrin	
7816	3.547	1089.39	1ME	
7816	5.861	54.55	6MSOH	
7816	6.159	83.5	1MP	
7100	1.87	687.18	sinigrin	
7100	3.514	149.56	1ME	
7571	1.806	668.94	sinigrin	
7571	3.407	453.22	1ME	
7571	5.819	55.25	6MSOH	
7571	6.094	167.45	1MP	
6969	1.262	325.83	2OH1ME	
6969	1.78	800.85	sinigrin	
6892	1.326	670.28	2OH1ME	
6892	1.887	664.26	sinigrin	
6892	3.546	134.39	1ME	
6892	5.865	26.77	6MSOH	
7629	1.875	624.83	sinigrin	
7629	3.507	590.34	1ME	
7629	5.867	189.8	6MSOH	
7629	6.157	268.29	1MP	
7054	1.76	653.43	sinigrin	
7054	3.318	1626.7	1ME	
7054	5.787	39.32	6MSOH	
7054	6.055	143.89	1MP	
blank50	1.376	7.46	2OH1ME	
blank50	1.938	80.58	sinigrin	
blank50	5.864	6.55	6MSOH	
7557	1.891	650.19	sinigrin	
7557	3.549	371.26	1ME	
7557	5.863	134.59	6MSOH	
7557	6.164	119.82	1MP	
6784	1.812	662.91	sinigrin	
6784	3.414	532.47	1ME	
6784	6.09	26.12	1MP	
7343	1.274	1189.37	2OH1ME	
7343	1.791	743.57	sinigrin	
7343	3.382	1137.65	1ME	
7343	5.805	728.71	6MSOH	
7245	1.345	128.69	2OH1ME	
7245	1.901	644.84	sinigrin	
7245	3.556	756.53	1ME	
7245	5.868	107.77	6MSOH	
6575	1.882	651.92	sinigrin	
6575	3.556	389.86	1ME	
6575	5.862	12.35	6MSOH	
6575	6.166	179.79	1MP	
6520	1.247	844.1	2OH1ME	
6520	1.76	644.74	sinigrin	
6520	3.315	1382.53	1ME	
6520	5.785	2548.44	6MSOH	
7523	1.811	623.29	sinigrin	
7523	3.404	218.65	1ME	
7523	5.812	65.32	6MSOH	
7523	6.083	25.41	1MP	
sinigrin51	1.762	900.53	sinigrin	
7579	1.925	656.2	sinigrin	
7579	3.575	83.52	1ME	
7579	5.875	6.59	6MSOH	
7579	6.175	40.0	1MP	
6879	1.254	498.18	2OH1ME	
6879	1.759	731.28	sinigrin	
6879	3.321	16.22	1ME	
6879	5.786	9.74	6MSOH	
6807	1.766	792.65	sinigrin	
6807	3.321	22.44	1ME	
6807	5.79	1053.45	6MSOH	
7025	1.786	606.73	sinigrin	
7025	5.797	1109.79	6MSOH	
6271	1.897	615.34	sinigrin	
6271	5.864	329.1	6MSOH	
7309	1.256	93.2	2OH1ME	
7309	1.767	843.93	sinigrin	
7309	3.344	139.36	1ME	
7309	5.793	230.48	6MSOH	
7696	1.896	693.75	sinigrin	
7696	3.548	881.04	1ME	
7696	5.866	134.08	6MSOH	
7696	6.167	82.28	1MP	
7495	1.766	576.34	sinigrin	
7495	3.323	28.48	1ME	
7495	5.782	1962.0	6MSOH	
sinigrin50	1.929	704.11	sinigrin	
7346	1.821	640.65	sinigrin	
7346	3.429	1452.67	1ME	
7346	5.82	229.96	6MSOH	
7346	6.098	1013.91	1MP	
7041	1.277	1355.97	2OH1ME	
7041	1.806	823.4	sinigrin	
7041	3.398	71.34	1ME	
7041	5.817	55.17	6MSOH	
6894	1.79	610.0	sinigrin	
6894	3.383	743.28	1ME	
6894	5.807	29.58	6MSOH	
6894	6.08	405.41	1MP	
7280	1.873	677.91	sinigrin	
7280	3.512	1762.41	1ME	
7280	5.853	516.41	6MSOH	
7280	6.145	138.44	1MP	
6832	1.81	648.71	sinigrin	
6832	3.425	72.3	1ME	
6832	5.828	9.77	6MSOH	
6832	6.105	53.34	1MP	
7489	1.909	697.22	sinigrin	
7489	3.566	2107.72	1ME	
7489	5.874	247.12	6MSOH	
7489	6.177	608.82	1MP	
7662	1.329	2068.09	2OH1ME	
7662	1.879	671.07	sinigrin	
7662	3.51	867.97	1ME	
7662	5.854	703.99	6MSOH	
6947	1.834	819.03	sinigrin	
6947	3.452	531.03	1ME	
6947	5.831	94.77	6MSOH	
6947	6.111	391.45	1MP	
7391	1.918	665.71	sinigrin	
7391	3.564	219.23	1ME	
7391	5.855	55.34	6MSOH	
7391	6.155	102.4	1MP	
6210	1.792	653.12	sinigrin	
7501	1.254	75.85	2OH1ME	
7501	1.779	642.93	sinigrin	
7501	3.363	226.34	1ME	
7501	5.8	130.16	6MSOH	
6826	1.772	695.58	sinigrin	
6826	5.793	47.89	6MSOH	
6330	1.901	721.59	sinigrin	
6330	3.567	661.13	1ME	
6330	5.87	33.24	6MSOH	
6330	6.172	554.44	1MP	
7008	1.923	729.81	sinigrin	
7008	3.573	317.68	1ME	
7008	5.859	6.17	6MSOH	
7008	6.161	82.21	1MP	
6485	1.895	711.77	sinigrin	
6485	3.562	132.34	1ME	
6485	5.874	6.62	6MSOH	
6485	6.174	19.34	1MP	
7330	1.802	638.25	sinigrin	
7330	3.387	438.02	1ME	
7330	5.808	74.83	6MSOH	
7330	6.083	221.06	1MP	
7450	1.876	607.74	sinigrin	
7450	3.524	111.76	1ME	
7450	5.858	23.08	6MSOH	
7450	6.153	35.75	1MP	
6232	1.883	561.31	sinigrin	
6232	3.515	1440.06	1ME	
6232	5.856	664.09	6MSOH	
6232	6.147	571.7	1MP	
6648	1.846	720.54	sinigrin	
6648	3.461	362.67	1ME	
6648	6.108	218.16	1MP	
6426	1.801	599.66	sinigrin	
6426	3.398	946.48	1ME	
6426	5.813	29.4	6MSOH	
6426	6.088	96.63	1MP	
7038	1.77	720.72	sinigrin	
7598	1.785	757.55	sinigrin	
7598	3.349	3635.33	1ME	
7598	5.802	118.85	6MSOH	
7598	6.07	238.75	1MP	
6858	1.274	455.17	2OH1ME	
6858	1.799	618.15	sinigrin	
6858	3.395	69.31	1ME	
6858	5.813	36.82	6MSOH	
7831	1.741	647.85	sinigrin	
7831	3.301	187.21	1ME	
7831	5.783	32.2	6MSOH	
7831	6.047	118.99	1MP	
6218	1.903	649.48	sinigrin	
6218	3.558	705.17	1ME	
6218	6.177	38.49	1MP	
6503	1.888	746.98	sinigrin	
6503	3.539	1776.2	1ME	
6503	5.871	123.21	6MSOH	
6503	6.166	456.16	1MP	
7128	1.769	633.8	sinigrin	
7128	3.341	1204.25	1ME	
7128	5.793	16.85	6MSOH	
7128	6.061	77.39	1MP	
7533	1.29	635.06	2OH1ME	
7533	1.826	680.71	sinigrin	
7533	3.438	614.13	1ME	
7533	5.825	1113.16	6MSOH	
7111	1.301	1021.47	2OH1ME	
7111	1.832	744.11	sinigrin	
7111	3.458	173.42	1ME	
7111	5.822	312.83	6MSOH	
7651	1.909	627.73	sinigrin	
7651	3.554	2758.65	1ME	
7651	5.903	567.41	6MSOH	
7651	6.201	476.29	1MP	
6674	1.347	1132.74	2OH1ME	
6674	1.903	804.24	sinigrin	
6674	3.545	1184.82	1ME	
6674	5.87	2206.04	6MSOH	
7771	1.755	837.79	sinigrin	
7771	3.319	698.53	1ME	
7771	5.784	89.26	6MSOH	
7771	6.047	238.47	1MP	
6663	1.349	94.9	2OH1ME	
6663	1.905	715.34	sinigrin	
6663	3.598	157.09	1ME	
6663	5.865	441.03	6MSOH	
6283	1.906	635.52	sinigrin	
6283	3.561	771.88	1ME	
6283	5.873	6.18	6MSOH	
6283	6.167	64.09	1MP	
7506	1.332	427.43	2OH1ME	
7506	1.88	690.03	sinigrin	
7506	3.522	314.33	1ME	
7506	5.858	35.48	6MSOH	
6652	1.778	610.13	sinigrin	
6652	3.359	1008.41	1ME	
6652	5.798	546.9	6MSOH	
6652	6.065	657.24	1MP	
6580	1.84	681.59	sinigrin	
6580	3.449	103.78	1ME	
6580	5.832	14.24	6MSOH	
6580	6.114	17.95	1MP	
7199	1.838	709.56	sinigrin	
7199	3.459	1396.24	1ME	
7199	5.825	329.34	6MSOH	
7199	6.106	375.58	1MP	
7238	1.883	619.29	sinigrin	
7238	3.527	319.61	1ME	
7238	5.859	57.84	6MSOH	
7238	6.153	77.01	1MP	
6885	1.892	681.58	sinigrin	
6885	3.554	2852.56	1ME	
6885	5.871	253.07	6MSOH	
6885	6.17	522.71	1MP	
7136	1.902	628.81	sinigrin	
7136	3.553	573.79	1ME	
7136	5.862	40.25	6MSOH	
7136	6.165	114.36	1MP	
7217	1.898	848.5	sinigrin	
7217	3.576	270.47	1ME	
7217	5.865	67.06	6MSOH	
7217	6.167	90.84	1MP	
6973	1.899	843.39	sinigrin	
6973	3.574	396.28	1ME	
6973	5.864	15.23	6MSOH	
6973	6.163	96.66	1MP	
7455	1.279	1010.06	2OH1ME	
7455	1.817	646.51	sinigrin	
7455	3.425	227.6	1ME	
7455	5.831	593.07	6MSOH	
6845	1.766	590.93	sinigrin	
6845	3.327	574.42	1ME	
6845	6.057	289.77	1MP	
7106	1.292	135.58	2OH1ME	
7106	1.852	618.93	sinigrin	
7259	1.765	748.6	sinigrin	
7259	3.33	715.05	1ME	
7259	5.789	151.0	6MSOH	
7259	6.054	185.73	1MP	
7282	1.272	109.66	2OH1ME	
7282	1.815	656.97	sinigrin	
7282	3.435	26.95	1ME	
7282	5.817	41.43	6MSOH	
6318	1.881	650.46	sinigrin	
6318	3.515	4019.22	1ME	
6318	5.86	68.85	6MSOH	
6318	6.157	451.88	1MP	
7519	1.897	705.71	sinigrin	
7519	3.573	578.82	1ME	
7519	5.862	203.53	6MSOH	
7519	6.16	328.54	1MP	
6248	1.838	665.72	sinigrin	
6248	3.45	100.57	1ME	
6248	6.11	26.15	1MP	
6803	1.334	601.13	2OH1ME	
6803	1.901	708.93	sinigrin	
6803	3.55	53.63	1ME	
6803	5.864	379.13	6MSOH	
6803	6.165	8.22	1MP	
7424	1.78	652.61	sinigrin	
7424	5.802	225.04	6MSOH	
6567	1.805	759.46	sinigrin	
6567	3.399	236.31	1ME	
6567	6.088	46.01	1MP	
6203	1.903	614.48	sinigrin	
6203	3.552	229.07	1ME	
6203	6.173	139.1	1MP	
6553	1.884	665.35	sinigrin	
6553	3.54	1419.51	1ME	
6553	5.858	217.7	6MSOH	
6553	6.156	838.89	1MP	
6366	1.89	683.85	sinigrin	
6366	3.555	198.29	1ME	
6366	5.859	14.91	6MSOH	
6366	6.158	127.34	1MP	
7052	1.829	672.63	sinigrin	
7832	1.77	601.82	sinigrin	
7832	3.347	411.92	1ME	
7832	5.794	118.55	6MSOH	
7832	6.062	265.75	1MP	
7299	1.901	653.21	sinigrin	
7299	3.553	208.04	1ME	
7299	5.86	22.85	6MSOH	
7299	6.159	17.63	1MP	
6665	1.756	670.31	sinigrin	
6665	5.786	105.41	6MSOH	
6801	1.871	756.13	sinigrin	
6801	3.513	1994.95	1ME	
6801	5.864	43.63	6MSOH	
6801	6.156	1122.67	1MP	
6464	1.834	650.99	sinigrin	
6464	3.45	1625.16	1ME	
6464	5.826	75.73	6MSOH	
6464	6.11	826.41	1MP	
6530	1.256	768.25	2OH1ME	
6530	1.766	688.71	sinigrin	
6530	3.325	799.92	1ME	
6530	5.785	622.49	6MSOH	
7496	1.875	612.08	sinigrin	
7496	3.538	144.59	1ME	
7496	5.898	32.0	6MSOH	
7496	6.228	70.98	1MP	
6834	1.892	624.57	sinigrin	
6834	3.528	465.73	1ME	
6834	5.852	8.76	6MSOH	
6834	6.153	317.88	1MP	
6970	1.289	524.85	2OH1ME	
6970	1.819	748.58	sinigrin	
6970	3.411	344.55	1ME	
6970	5.82	385.99	6MSOH	
7358	1.256	955.86	2OH1ME	
7358	1.763	633.2	sinigrin	
7358	3.335	1014.82	1ME	
7358	5.789	433.52	6MSOH	
7781	1.276	214.19	2OH1ME	
7781	1.801	657.22	sinigrin	
7781	3.387	44.45	1ME	
7781	5.809	678.97	6MSOH	
7271	1.903	623.44	sinigrin	
7271	5.866	635.36	6MSOH	
6795	1.806	619.53	sinigrin	
6795	3.396	1992.57	1ME	
6795	5.815	22.45	6MSOH	
6795	6.089	440.13	1MP	
7608	1.782	511.72	sinigrin	
7608	3.35	3461.87	1ME	
7608	5.794	124.73	6MSOH	
7608	6.062	283.97	1MP	
7566	1.838	634.99	sinigrin	
7566	3.435	2676.42	1ME	
7566	5.824	364.37	6MSOH	
7566	6.089	167.41	1MP	
7457	1.791	656.74	sinigrin	
7457	3.388	81.79	1ME	
7457	5.812	35.17	6MSOH	
7457	6.082	91.03	1MP	
7133	1.881	761.66	sinigrin	
7133	3.507	30.44	1ME	
7133	5.86	1434.85	6MSOH	
6333	1.904	681.19	sinigrin	
6333	3.55	1928.73	1ME	
6333	5.868	20.35	6MSOH	
6333	6.167	163.26	1MP	
7283	1.762	704.73	sinigrin	
7283	3.314	1563.28	1ME	
7283	5.786	463.63	6MSOH	
7283	6.052	1050.59	1MP	
7072	1.341	123.47	2OH1ME	
7072	1.906	671.69	sinigrin	
7072	3.563	16.1	1ME	
6827	1.828	638.83	sinigrin	
6827	3.446	436.64	1ME	
6827	5.825	7.39	6MSOH	
6827	6.102	193.86	1MP	
7078	1.337	74.58	2OH1ME	
7078	1.89	697.35	sinigrin	
7078	5.863	41.47	6MSOH	
7049	1.809	640.01	sinigrin	
7049	3.41	1288.04	1ME	
7049	5.818	114.36	6MSOH	
7049	6.094	762.28	1MP	
6542	1.341	1053.54	2OH1ME	
6542	1.907	960.44	sinigrin	
6542	3.572	277.64	1ME	
6542	5.868	1144.84	6MSOH	
6400	1.831	699.66	sinigrin	
6400	5.829	341.25	6MSOH	
7327	1.27	221.14	2OH1ME	
7327	1.784	651.75	sinigrin	
7327	3.367	81.1	1ME	
7327	5.803	76.8	6MSOH	
7520	1.769	626.99	sinigrin	
7520	3.332	138.79	1ME	
7520	5.791	90.95	6MSOH	
7520	6.059	153.2	1MP	
6495	1.901	696.25	sinigrin	
6495	3.55	591.74	1ME	
6495	5.871	6.05	6MSOH	
6495	6.169	41.46	1MP	
6987	1.743	778.56	sinigrin	
6987	5.785	50.54	6MSOH	
6987	6.048	32.04	1MP	
7148	1.348	794.8	2OH1ME	
7148	1.907	622.6	sinigrin	
7148	3.56	760.53	1ME	
7148	5.862	571.61	6MSOH	
7742	1.286	516.25	2OH1ME	
7742	1.821	805.5	sinigrin	
7742	3.421	168.14	1ME	
7742	5.821	79.67	6MSOH	
6829	1.796	652.06	sinigrin	
6829	3.396	778.22	1ME	
6829	5.812	25.62	6MSOH	
6829	6.084	22.33	1MP	
7439	1.324	106.7	2OH1ME	
7439	1.888	704.44	sinigrin	
7439	3.528	185.42	1ME	
7439	5.857	129.29	6MSOH	
7486	1.283	660.33	2OH1ME	
7486	1.809	722.03	sinigrin	
7486	3.41	384.66	1ME	
7486	5.813	837.24	6MSOH	
7437	1.257	606.04	2OH1ME	
7437	1.783	698.74	sinigrin	
7437	3.354	469.25	1ME	
7437	5.799	180.16	6MSOH	
7264	1.784	712.22	sinigrin	
7264	3.361	943.92	1ME	
7264	5.801	214.85	6MSOH	
7264	6.071	477.51	1MP	
6846	1.882	706.28	sinigrin	
6846	3.552	1054.43	1ME	
6846	5.801	14.61	6MSOH	
6846	6.154	529.66	1MP	
7247	1.91	712.41	sinigrin	
7247	3.604	223.15	1ME	
7247	5.881	55.8	6MSOH	
7247	6.182	117.95	1MP	
6605	1.321	632.95	2OH1ME	
6605	1.87	683.23	sinigrin	
6605	3.503	418.13	1ME	
6605	5.853	1243.38	6MSOH	
6326	1.91	631.25	sinigrin	
6326	3.546	4040.66	1ME	
6326	5.87	522.29	6MSOH	
6326	6.172	374.34	1MP	
7230	1.259	79.6	2OH1ME	
7230	1.778	659.96	sinigrin	
7230	3.358	242.05	1ME	
7230	5.797	130.22	6MSOH	
6249	1.807	640.5	sinigrin	
7650	1.3	3063.71	2OH1ME	
7650	1.848	871.65	sinigrin	
7650	3.469	956.47	1ME	
7650	5.833	687.09	6MSOH	
6237	1.794	626.74	sinigrin	
6237	3.391	146.92	1ME	
6237	6.082	19.15	1MP	
6253	1.917	710.35	sinigrin	
6253	3.592	1021.53	1ME	
6253	5.861	26.99	6MSOH	
6253	6.165	20.0	1MP	
6245	1.817	696.94	sinigrin	
6245	3.418	68.04	1ME	
7336	1.3	668.87	2OH1ME	
7336	1.848	831.53	sinigrin	
7336	3.462	2109.11	1ME	
7336	5.826	528.79	6MSOH	
7103	1.32	468.12	2OH1ME	
7103	1.874	676.2	sinigrin	
7103	3.514	79.19	1ME	
7103	5.853	27.48	6MSOH	
6611	1.252	352.94	2OH1ME	
6611	1.772	645.2	sinigrin	
6611	3.34	56.73	1ME	
6611	5.795	20.22	6MSOH	
7473	1.788	624.94	sinigrin	
7473	3.402	128.09	1ME	
7473	5.809	41.71	6MSOH	
7473	6.082	72.16	1MP	
7132	1.335	721.22	2OH1ME	
7132	1.888	639.51	sinigrin	
7132	3.519	37.76	1ME	
7132	5.857	292.22	6MSOH	
6586	1.35	198.43	2OH1ME	
6586	1.91	740.76	sinigrin	
6586	3.564	14.23	1ME	
6586	5.86	6.24	6MSOH	
6836	1.756	643.35	sinigrin	
6836	3.316	53.48	1ME	
6836	6.053	12.18	1MP	
7082	1.903	660.99	sinigrin	
7082	3.555	92.15	1ME	
7082	6.172	33.33	1MP	
6941	1.92	713.23	sinigrin	
6941	3.603	35.97	1ME	
6941	6.178	8.99	1MP	
6861	1.341	655.62	2OH1ME	
6861	1.904	619.36	sinigrin	
6861	3.545	283.95	1ME	
6861	5.868	1165.81	6MSOH	
7757	1.348	1079.62	2OH1ME	
7757	1.904	663.63	sinigrin	
7757	3.554	285.95	1ME	
7757	5.869	539.08	6MSOH	
7110	1.759	718.83	sinigrin	
7369	1.785	646.08	sinigrin	
7369	3.365	753.6	1ME	
7369	5.803	344.18	6MSOH	
7369	6.075	440.29	1MP	
7618	1.808	620.68	sinigrin	
7618	3.401	232.9	1ME	
7618	6.091	34.35	1MP	
6811	1.827	795.34	sinigrin	
6811	3.428	3138.72	1ME	
6811	5.834	121.28	6MSOH	
6811	6.109	95.58	1MP	
6207	1.684	635.71	sinigrin	
6207	3.196	2191.51	1ME	
6207	5.694	31.84	6MSOH	
6207	5.973	541.1	1MP	
7189	1.73	695.1	sinigrin	
7189	3.272	628.55	1ME	
7189	5.624	6.1	6MSOH	
7189	5.734	307.44	6MSOH	
7189	6.018	342.64	1MP	
7104	1.697	637.94	sinigrin	
7104	3.221	35.91	1ME	
7058	1.221	18.5	2OH1ME	
7058	1.726	852.8	sinigrin	
6612	1.734	628.15	sinigrin	
6612	5.732	490.53	6MSOH	
6654	1.242	120.91	2OH1ME	
6654	1.752	758.4	sinigrin	
6654	3.297	204.49	1ME	
6654	5.722	197.48	6MSOH	
7451	1.735	733.5	sinigrin	
7451	3.275	1056.92	1ME	
7451	5.749	321.1	6MSOH	
7451	6.042	192.98	1MP	
6509	1.23	1452.02	2OH1ME	
6509	1.73	784.59	sinigrin	
6509	3.262	470.74	1ME	
6509	5.737	802.89	6MSOH	
6509	6.023	50.21	1MP	
6770	1.729	656.2	sinigrin	
6770	3.248	164.6	1ME	
6770	5.992	29.3	1MP	
6332	1.72	739.86	sinigrin	
6332	3.172	98.74	1ME	
6332	5.772	4741.0	6MSOH	
7134	1.688	665.33	sinigrin	
7134	3.189	532.61	1ME	
7134	5.692	29.38	6MSOH	
7134	5.966	244.37	1MP	
6442	1.131	9.29	2OH1ME	
6442	1.752	708.28	sinigrin	
6442	3.297	1464.06	1ME	
6442	5.743	113.97	6MSOH	
6442	6.028	845.19	1MP	
7526	1.731	635.53	sinigrin	
7526	3.269	65.14	1ME	
7526	5.717	9.13	6MSOH	
7526	6.006	33.0	1MP	
7530	1.159	58.6	2OH1ME	
7530	1.241	113.0	2OH1ME	
7530	1.742	668.55	sinigrin	
7530	3.262	78.05	1ME	
7530	5.711	101.29	6MSOH	
6792	1.736	652.71	sinigrin	
6792	3.26	288.19	1ME	
6792	5.71	15.68	6MSOH	
6792	5.994	137.92	1MP	
6288	1.224	1071.27	2OH1ME	
6288	1.723	647.23	sinigrin	
6288	3.247	26.41	1ME	
6288	5.717	34.96	6MSOH	
7589	1.75	700.99	sinigrin	
7589	3.306	1509.66	1ME	
7589	5.723	260.93	6MSOH	
7589	6.007	1057.43	1MP	
6437	1.674	647.43	sinigrin	
6437	5.698	272.29	6MSOH	
6316	1.724	587.32	sinigrin	
6316	3.241	184.41	1ME	
6316	6.052	126.21	1MP	
7782	1.22	565.18	2OH1ME	
7782	1.724	656.89	sinigrin	
7782	3.263	28.32	1ME	
7782	5.731	69.13	6MSOH	
6263	1.723	710.06	sinigrin	
6263	3.253	85.83	1ME	
6263	6.05	36.25	1MP	
6355	1.787	587.94	sinigrin	
6355	3.334	273.32	1ME	
6355	5.735	8.56	6MSOH	
6355	6.023	41.54	1MP	
7493	1.236	386.86	2OH1ME	
7493	1.735	669.02	sinigrin	
7493	3.282	821.78	1ME	
7493	5.719	206.69	6MSOH	
7341	1.204	761.62	2OH1ME	
7341	1.711	681.76	sinigrin	
7341	3.226	171.32	1ME	
7341	5.713	16.91	6MSOH	
sinigrin54	1.752	1208.41	sinigrin	
sinigrin55	1.69	778.06	sinigrin	
6493	1.727	684.36	sinigrin	
6493	3.267	139.94	1ME	
6493	5.73	12.1	6MSOH	
6493	6.012	79.49	1MP	
6582	1.738	666.24	sinigrin	
6582	3.276	202.58	1ME	
6582	5.728	13.57	6MSOH	
6582	6.017	83.9	1MP	
7500	1.732	680.23	sinigrin	
7500	3.231	790.6	1ME	
7500	5.706	207.99	6MSOH	
7500	5.991	82.55	1MP	
7762	1.727	679.17	sinigrin	
7762	3.262	553.21	1ME	
7762	5.726	103.67	6MSOH	
7762	6.008	265.92	1MP	
7605	1.258	550.88	2OH1ME	
7605	1.759	1069.0	sinigrin	
7605	3.29	2305.89	1ME	
7605	5.794	860.44	6MSOH	
7605	6.074	16.95	1MP	
7766	1.706	493.89	sinigrin	
7766	3.238	2390.85	1ME	
7766	5.782	222.85	6MSOH	
7766	6.068	175.26	1MP	
7725	1.144	13.52	2OH1ME	
7725	1.763	872.32	sinigrin	
7725	3.335	258.66	1ME	
7725	5.74	68.7	6MSOH	
7725	6.026	130.58	1MP	
7804	1.234	90.86	2OH1ME	
7804	1.737	630.84	sinigrin	
7804	3.278	112.61	1ME	
7804	5.734	88.12	6MSOH	
7063	1.735	657.36	sinigrin	
7063	3.277	549.08	1ME	
7063	5.717	19.58	6MSOH	
7063	6.003	98.2	1MP	
6771	1.131	9.31	2OH1ME	
6771	1.744	793.74	sinigrin	
6771	3.308	206.43	1ME	
6771	5.735	7.67	6MSOH	
6771	6.024	39.75	1MP	
6581	1.683	614.0	sinigrin	
6581	3.2	1723.14	1ME	
6581	5.696	28.64	6MSOH	
6581	5.982	165.91	1MP	
6623	1.727	647.51	sinigrin	
6623	3.255	1133.44	1ME	
6623	5.727	24.18	6MSOH	
6623	6.007	36.8	1MP	
6556	1.743	625.09	sinigrin	
6556	3.271	37.54	1ME	
6556	6.016	25.93	1MP	
7438	1.236	288.69	2OH1ME	
7438	1.747	725.17	sinigrin	
7438	3.291	464.62	1ME	
7438	5.733	33.01	6MSOH	
7396	1.233	3071.03	2OH1ME	
7396	1.734	706.7	sinigrin	
7396	3.253	833.48	1ME	
7396	5.73	1478.92	6MSOH	
7823	1.734	657.73	sinigrin	
7823	3.262	469.52	1ME	
7823	5.72	77.63	6MSOH	
7823	6.005	117.91	1MP	
6953	1.739	734.12	sinigrin	
6953	3.306	1750.46	1ME	
6953	5.729	108.79	6MSOH	
6953	6.017	55.85	1MP	
6975	1.224	281.54	2OH1ME	
6975	1.721	665.01	sinigrin	
6975	3.25	18.27	1ME	
7243	1.729	786.07	sinigrin	
7243	3.256	249.92	1ME	
7243	5.781	49.06	6MSOH	
7243	6.052	137.46	1MP	
6856	1.724	625.16	sinigrin	
6856	3.26	972.05	1ME	
6856	5.736	34.62	6MSOH	
6856	6.025	29.22	1MP	
6411	1.2	910.08	2OH1ME	
6411	1.715	714.66	sinigrin	
6411	3.234	32.8	1ME	
6411	5.71	79.76	6MSOH	
7460	1.228	248.47	2OH1ME	
7460	1.728	802.91	sinigrin	
7460	3.248	112.15	1ME	
7460	5.785	52.49	6MSOH	
7739	1.756	569.05	sinigrin	
7739	3.32	149.27	1ME	
7739	5.727	7.05	6MSOH	
7739	6.01	68.26	1MP	
6914	1.726	604.93	sinigrin	
6914	3.245	778.91	1ME	
6914	5.771	14.02	6MSOH	
6914	6.053	367.77	1MP	
6928	1.734	675.59	sinigrin	
6928	3.248	1576.9	1ME	
6928	5.709	124.17	6MSOH	
6928	5.99	1218.7	1MP	
7421	1.23	89.91	2OH1ME	
7421	1.742	705.3	sinigrin	
7421	3.292	123.37	1ME	
7421	5.735	23.32	6MSOH	
6596	1.758	589.68	sinigrin	
6596	3.247	35.02	1ME	
6596	5.711	2290.64	6MSOH	
7825	1.183	266.32	2OH1ME	
7825	1.686	681.34	sinigrin	
7825	3.206	29.63	1ME	
7825	5.694	262.7	6MSOH	
6454	1.725	782.7	sinigrin	
6454	3.256	196.56	1ME	
6454	6.061	36.74	1MP	
6925	1.727	770.76	sinigrin	
6925	3.259	971.44	1ME	
6925	5.713	38.2	6MSOH	
6925	6.0	193.03	1MP	
7461	1.221	812.16	2OH1ME	
7461	1.727	602.58	sinigrin	
7461	3.275	724.35	1ME	
7461	5.724	117.93	6MSOH	
7461	6.009	8.17	1MP	
6328	1.74	621.97	sinigrin	
6328	3.261	142.4	1ME	
6328	5.723	8.89	6MSOH	
6328	6.01	77.45	1MP	
6629	1.728	709.03	sinigrin	
6524	1.738	580.49	sinigrin	
6524	3.254	55.03	1ME	
6524	5.999	32.21	1MP	
6974	1.679	729.16	sinigrin	
6974	5.689	700.88	6MSOH	
7649	1.145	12.06	2OH1ME	
7649	1.761	830.02	sinigrin	
7649	3.34	983.03	1ME	
7649	5.744	63.65	6MSOH	
7649	6.032	65.52	1MP	
7524	1.23	582.44	2OH1ME	
7524	1.731	637.44	sinigrin	
7524	3.256	1076.33	1ME	
7524	5.724	711.99	6MSOH	
7524	6.013	12.31	1MP	
7720	1.24	1181.66	2OH1ME	
7720	1.74	678.89	sinigrin	
7720	3.264	661.14	1ME	
7720	5.722	243.28	6MSOH	
7720	6.008	25.14	1MP	
6490	1.726	768.5	sinigrin	
6490	3.177	19.86	1ME	
6490	5.732	563.51	6MSOH	
7666	1.24	776.76	2OH1ME	
7666	1.747	634.82	sinigrin	
7666	3.27	257.52	1ME	
7666	5.72	752.86	6MSOH	
6945	1.746	709.92	sinigrin	
6945	5.772	52.99	6MSOH	
7145	1.154	20.23	2OH1ME	
7145	1.763	1225.57	sinigrin	
7145	3.298	1470.7	1ME	
7145	5.804	262.02	6MSOH	
7145	6.083	321.57	1MP	
6555	1.149	12.22	2OH1ME	
6555	1.762	817.26	sinigrin	
6555	3.315	410.72	1ME	
6555	6.025	245.25	1MP	
6828	1.19	219.27	2OH1ME	
6828	1.688	660.92	sinigrin	
6828	3.199	112.61	1ME	
6828	5.7	805.42	6MSOH	
7514	1.742	676.64	sinigrin	
7514	5.729	123.83	6MSOH	
